fid,SAMNumber,Name,Period,SiteType,Report,lon,lat
"5010",GM587     ,Dan-y-Graig Roman villa                                                                                                                               ,Roman,Villa,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4204,"-3.67190607338201","51.4891957547426"
"5011",CD206     ,Blaen Glasffrwd longhouse                                                                                                                             ,Post Medieval/Modern,Longhouse,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4205,"-3.80235079924626","52.2496795159696"
"5012",BR321     ,Coed y Polyn round barrow                                                                                                                             ,Prehistoric,Round Barrow,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4206,"-3.19571572057857","52.0373278763935"
"5013",MG308     ,Craig y Dullfan ring cairn                                                                                                                            ,Prehistoric,Ring Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4207,"-3.81094576607952","52.4829450240301"
"5014",MG307     ,Banc Llechwedd-mawr round cairns                                                                                                                      ,Prehistoric,Round Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4208,"-3.80510223446286","52.4928471794122"
"5015",GM588     ,Y Domen Fawr round cairn                                                                                                                              ,Prehistoric,Round Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4209,"-3.20954421127141","51.7569871178538"
"5016",CD207     ,Cwm Rhydol settlement                                                                                                                                 ,Medieval,Longhouse,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4210,"-3.80870305444288","52.2885868579027"
"5017",MG309     ,Afon Hyddgen stone row                                                                                                                                ,Prehistoric,Stone Row,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4211,"-3.79703824073559","52.4892447504639"
"5018",CD209     ,Waun Llechwedd Llyfn long hut                                                                                                                         ,Post Medieval/Modern,Deserted Rural Settlement,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4212,"-3.8901522231008","52.458190767478"
"5019",CD208     ,Nant Bwlch-glas lluest farmstead                                                                                                                      ,Post Medieval/Modern,Deserted Rural Settlement,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4213,"-3.89138285363831","52.4654451163344"
"5020",RD252,Round Barrow to W of Ty'n-y-ddol Hill,Prehistoric,Round Barrow,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4214,"-3.27710624648707","52.4027708016337"
"5021",RD251     ,"Banc Gorddwr, round barrow on S side of                                                                                                               ",Prehistoric,Round Barrow,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4215,"-3.3079585021763","52.4377442946575"
